Category,Sub-category,Brand,Product Name,Rating,Review,Bersih,combined_features
cleanser,facial wash,Cetaphil,Gentle Skin Cleanser,4.1,"huhuhu sabun muka terbaik coba😭, gatau botol, cetaphil salah jerawatku hilang. sebagus itusih harga mahal. make bingung gk keset, menurutku sabun muka oketu keset, eh ngebantu ilangin jerawat, make april 2019 gk ganti” sampe sekarang😚",huhu sabun muka terbaik coba enggak tau botol cetaphil  jerawatku hilang sebagus itusih harga mahal memakai bingung  keset menurutku sabun muka oketu keset eh membantu hilangkan jerawat memakai april   ganti,cleanser facial wash Cetaphil
cleanser,facial wash,Acnes,Creamy Wash,3.6,"fw murmer enak ga murahan. daya bersihnya. krna myristic acid, lauric acid acid2 jd ga terusin pake, alkoholnya jg. krna msh penasaran coba 2-3 tp ga gt suka, wlopun hasilnya bersih tp buru2 diguyur toner spy muka ga kering",fw murah meriah   murahan daya bersihnya  myristic acid lauric acid acid   terusin pakai alkoholnya    penasaran coba     suka  hasilnya bersih  buru diguyur toner  muka  kering,cleanser facial wash Acnes
cleanser,facial wash,Hada Labo,Tamagohada Mild Peeling Face Wash,4.1,"suka gak suka, pake cocok cocok gada enak mild gak kerasa ketarik kalo abis cuci muka gak tau ngerasa munculin texture kulit ku pake",suka  suka pakai cocok cocok enggak ada  mild  kerasa tertarik  habis cuci muka    munculin texture kulit ku pakai,cleanser facial wash Hada Labo
cleanser,facial wash,Senka,Perfect Whip Facial Foam,4,"love hate senka. suka whip lembut busa. cuci muka seger bgt, bersih. wanginya lembut. alcohol, kupikir gk terganggu. kuteliti, wajahku sensitif alkohol jdi i>2 blnn pakai wajahku kering😩 efek ketariknya lumayan kerasa cuci muka malem. gk berjodoh whip foam",cinta benci senka suka whip lembut busa cuci muka segar banget bersih wanginya lembut alcohol aku pikir  terganggu kuteliti wajahku sensitif alkohol   blnn pakai wajahku kering efek ketariknya lumayan kerasa cuci muka malam  berjodoh whip foam,cleanser facial wash Senka
cleanser,facial wash,Clean And Clear,Foaming Face Wash,3.2,"facial foamku pake 4 kuliah, bagus membersihkan muka, mukaku jerawatan, hasilnya kulitku kering. dipakaikan pelembab",facial foamku pakai  kuliah bagus membersihkan muka mukaku jerawatan hasilnya kulitku kering dipakaikan pelembab,cleanser facial wash Clean And Clear
cleanser,facial wash,Hada Labo,Gokujyun Ultimate Moisturizing Face Wash,4.2,"face wash akuuu, beli tuh toner& pelembab, kyk starter kit gituu, enakk bangett tuhh, lembabb ga kering abis cuci muka, dipake dikit ajaa sabunnyaa, suka tekstur cream gtuuu, kecintaan akuwww",face wash  beli  toner pelembab kayak starter kit  enakk banget tuh lembabb  kering habis cuci muka dipakai   sabunnyaa suka tekstur cream  kecintaan akuww,cleanser facial wash Hada Labo
cleanser,facial wash,Cosrx,Low pH Good Morning Gel Cleanser,4.2,"menurutku ga cocok kulit kering bikin kering ketarik. ga, gentle. keterangannya low ph tp bikin kering:( baunya ga enak. busanya. cleanser murah& ga bikin kering. kalo kulit oily, salah pilihan.",menurutku  cocok kulit kering  kering tertarik  gentle keterangannya low ph   kering baunya   busanya cleanser murah   kering  kulit oily  pilihan,cleanser facial wash Cosrx
cleanser,facial wash,The Body Shop,Tea Tree Skin Clearing Facial Wash,3.6,"beli the body shop facial wash diskon ditambah koin shopee harga 70k. pemakain kulit membersihkan kotoran wajah kulit menarik kulit efek keset suka. jerawat sebum wajah terkontrol the body shop, efek menghilangkan jerawat wajah secepat himalaya elshe skin harganya diatas. untungnya membeli harga miring",beli  badan shop facial wash diskon ditambah koin shopee harga kak pemakain kulit membersihkan kotoran wajah kulit menarik kulit efek keset suka jerawat sebum wajah terkontrol  badan shop efek menghilangkan jerawat wajah secepat himalaya elshe skin harganya di atas untungnya membeli harga miring,cleanser facial wash The Body Shop
cleanser,facial wash,Hada Labo,Shirojyun Ultimate Whitening Face Wash,3.8,"facial wash harga affordable ingredientnya gak aneh2, gak fragrance berasa pake produk aman. cocok kulit oily abis pakai berasa kesat gak ketarik",facial wash harga terjangkau ingredientnya  aneh  fragrance berasa pakai produk aman cocok kulit oily habis pakai berasa kesat  tertarik,cleanser facial wash Hada Labo
cleanser,facial wash,Emina,Bright Stuff Face Wash,3.9,"underestimate brand coba sunscreennya gak cocok kepepet gak bawa beli suncreennya gampang temuin, kulit muka ku langsung iritasi kemerahan berasa gatel, long short story lupa bawa face wash memeberanikan coba suka baget cocok cerahin gampang ditemuin.",menyepelekan merek coba sunscreennya  cocok kepepet  bawa beli suncreennya mudah temuin kulit muka ku  iritasi kemerahan berasa gatal long short cerita lupa bawa face wash memeberanikan coba suka banget cocok cerahin mudah ditemukan,cleanser facial wash Emina
